127.0.0.1 - - [21/Jun/2023:09:50:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:50:59 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:50:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:53:26 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:53:46 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:54:20 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:41 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:18 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:57:11 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:57:38 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:04 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:01:13 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:02:56 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:03:15 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:04:44 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:05:46 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:07:21 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:14:13 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:17:38 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:17:42 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:17:47 +0900] "GET /01_HTML/day03/Ex01_table_span.html HTTP/1.1" 200 3388
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:35:33 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:36:14 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:39:25 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:40:36 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:43:07 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:43:18 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:43:43 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:45:48 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:46:08 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:46:57 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:48:18 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:51:32 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:51:53 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:52:06 +0900] "GET /01_HTML/day03/Ex02_tableStyling.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:57:49 +0900] "GET /01_HTML/day03/Ex03_tableStyling.html HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:58:52 +0900] "GET /01_HTML/day03/Ex03_tableStyling.html HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:59:11 +0900] "GET /01_HTML/day03/Ex03_tableStyling.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:01:24 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:02:10 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:03:18 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:03:29 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:03:57 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:04:10 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:04:46 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:04:57 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:05:06 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:06:12 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:06:13 +0900] "GET /01_HTML/day03/Ex04_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:08:31 +0900] "GET /01_HTML/day03/Ex05_tableStyling.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:09:06 +0900] "GET /01_HTML/day03/Ex05_tableStyling.html HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:09:33 +0900] "GET /01_HTML/day03/Ex05_tableStyling.html HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:10:43 +0900] "GET /01_HTML/day03/Ex05_tableStyling.html HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:14:49 +0900] "GET /01_HTML/day03/Ex06_tableStyling.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:16:58 +0900] "GET /01_HTML/day03/Ex06_tableStyling.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:17:20 +0900] "GET /01_HTML/day03/Ex06_tableStyling.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:17:46 +0900] "GET /01_HTML/day03/Ex06_tableStyling.html HTTP/1.1" 200 846
