127.0.0.1 - - [19/Jun/2023:13:20:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jun/2023:13:20:30 +0900] "GET /01_HTML/day01/Ex01.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Jun/2023:13:20:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:29:37 +0900] "GET /01_HTML/day01/Ex01.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:29:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:54:44 +0900] "GET /01_HTML/day01/Ex01.html HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:54:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:23:27 +0900] "GET /01_HTML/day01/Ex02_paragraph.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:43:02 +0900] "GET /01_HTML/day01/Ex02_paragraph.html HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:46:26 +0900] "GET /01_HTML/day01/Ex02_paragraph.html HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:48:14 +0900] "GET /01_HTML/day01/Ex02_paragraph.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:55:46 +0900] "GET /01_HTML/day01/Ex03_paragraph.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:59:02 +0900] "GET /01_HTML/day01/Ex03_paragraph.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:59:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:02:34 +0900] "GET /01_HTML/day01/Ex03_paragraph.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:16:09 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:17:41 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:37:35 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:58 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:40:21 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:40:26 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:41:41 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:43:53 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:45:06 +0900] "GET /01_HTML/day01/Ex04_styles.html HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:50:27 +0900] "GET /01_HTML/day01/Ex05_Text%20Formatting.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:54:41 +0900] "GET /01_HTML/day01/Ex05_Text%20Formatting.html HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:59:26 +0900] "GET /01_HTML/day01/Ex05_Text%20Formatting.html HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:04:06 +0900] "GET /01_HTML/day01/Ex05_Text%20Formatting.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:31:23 +0900] "GET /01_HTML/day01/Ex06_Colors.html HTTP/1.1" 200 1000
