0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:17:36 +0900] "GET /01_HTML/day02/Ex04_image.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:17:36 +0900] "GET /01_HTML/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:17:36 +0900] "GET /01_HTML/images/dss.png HTTP/1.1" 200 14413
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:18:06 +0900] "GET /01_HTML/day02/Ex04_image.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:37:45 +0900] "GET /01_HTML/day02/imageFloating.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:37:45 +0900] "GET /01_HTML/images/dss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:38:32 +0900] "GET /01_HTML/day02/imageFloating.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:38:32 +0900] "GET /01_HTML/images/IMG_5856.JPG HTTP/1.1" 200 55808
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:38:57 +0900] "GET /01_HTML/day02/imageFloating.html HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:38:57 +0900] "GET /01_HTML/images/IMG_5856.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:39:48 +0900] "GET /01_HTML/day02/imageFloating.html HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:39:48 +0900] "GET /01_HTML/images/IMG_5856.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:46:41 +0900] "GET /01_HTML/day02/Ex06_imageMap.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:46:41 +0900] "GET /01_HTML/images/workplace.jpg HTTP/1.1" 200 31874
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:47:57 +0900] "GET /01_HTML/day02/Ex06_imageMap.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:47:57 +0900] "GET /01_HTML/images/workplace.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:00:12 +0900] "GET /01_HTML/day02/Ex06_imageMap.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:00:12 +0900] "GET /01_HTML/images/workplace.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:01:08 +0900] "GET /01_HTML/day02/Ex06_imageMap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:01:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:02:30 +0900] "GET /01_HTML/day02/Ex06_imageMap.html HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:02:30 +0900] "GET /01_HTML/images/workplace.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:14:57 +0900] "GET /01_HTML/day02/Ex07_backgroundimage.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:14:57 +0900] "GET /01_HTML/images/IMG_5856.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:16:58 +0900] "GET /01_HTML/day02/Ex07_backgroundimage.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:17:38 +0900] "GET /01_HTML/day02/Ex07_backgroundimage.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:17:49 +0900] "GET /01_HTML/day02/Ex07_backgroundimage.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:19:33 +0900] "GET /01_HTML/day02/Ex07_backgroundimage.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:19:33 +0900] "GET /01_HTML/images/IMG_5856.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:42:16 +0900] "GET /01_HTML/day02/Ex08_favicon.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:42:16 +0900] "GET /01_HTML/images/IMG_5856.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:56:11 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:57:39 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:58:36 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:59:09 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:00:39 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:05:25 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:07:03 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1754
